Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover
CRCAM SUD R.A.CCI,FR0000045346,CRSU,Euronext Paris,EUR,148.92,154,147.62,152.02,9/02/2021 15:13,CET,371,55817.02
CRCAM TOURAINE CCI,FR0000045304,CRTO,Euronext Paris,EUR,95,96.5,93,96.5,9/02/2021 10:55,CET,206,19469.7
CREDIT AGRICOLE,FR0000045072,ACA,Euronext Paris,EUR,10.24,10.27,10.055,10.135,9/02/2021 17:37,CET,3502396,35516446.52
CROSSWOOD,FR0000050395,CROS,Euronext Paris,EUR,4.6,4.6,4.6,4.6,4/02/2021 11:30,CET,104,478.4
CS GROUP.,FR0007317813,SX,Euronext Paris,EUR,3.85,3.85,3.8,3.8,9/02/2021 17:36,CET,26668,101355.08
CTAC,NL0000345577,CTAC,Euronext Amsterdam,EUR,3.1,3.2,3.09,3.09,9/02/2021 17:15,CET,21693,68234.2
DALET,FR0011026749,DLT,Euronext Paris,EUR,13.58,13.58,13.58,13.58,9/02/2021 16:44,CET,15,203.7
DANONE,FR0000120644,BN,Euronext Paris,EUR,53.04,53.74,52.84,53.46,9/02/2021 17:35,CET,1336796,71228963.98
DASSAULT AVIATION,FR0000121725,AM,Euronext Paris,EUR,909,909,899,907.5,9/02/2021 17:35,CET,4337,3927363.5
DASSAULT SYSTEMES,FR0000130650,DSY,Euronext Paris,EUR,187.9,190,185.25,189,9/02/2021 17:38,CET,313645,59034547.55
DBV TECHNOLOGIES,FR0010417345,DBV,Euronext Paris,EUR,9.845,9.845,9.44,9.65,9/02/2021 17:35,CET,485453,4675130.57
DELTA PLUS GROUP,FR0013283108,DLTA,Euronext Paris,EUR,84.2,84.2,82,84,9/02/2021 17:35,CET,3104,258381.8
DERICHEBOURG,FR0000053381,DBG,Euronext Paris,EUR,5.895,5.895,5.735,5.86,9/02/2021 17:35,CET,244298,1419450.11
DEVOTEAM,FR0000073793,DVT,Euronext Paris,EUR,100,101,98.4,99.6,9/02/2021 17:35,CET,2539,253498.9
DGB GROUP N.V.,NL0009169515,DGB,Euronext Amsterdam,EUR,1.3,1.3,1.24,1.24,9/02/2021 17:22,CET,35752,44930.3
DIAGEO,GB0002374006,DGE,Euronext Paris,EUR,33.78,33.78,33.78,33.78,9/02/2021 9:00,CET,80,2702.4
DIAGNOSTIC MEDICAL,FR0012202497,DGM,Euronext Paris,EUR,1.72,1.75,1.68,1.71,9/02/2021 17:35,CET,36754,62731.17
DOCK.PETR.AMBES AM,FR0000065260,DPAM,Euronext Paris,EUR,388,388,388,388,9/02/2021 11:30,CET,7,2716
DPA GROUP,NL0009197771,DPA,Euronext Amsterdam,EUR,1.49,1.5,1.47,1.5,9/02/2021 17:37,CET,47796,70822.83
DSC2,NL00150000S7,DSC2,Euronext Amsterdam,EUR,11.95,12,11.9,11.9,9/02/2021 16:44,CET,1952,23370.92
DSM KON,NL0000009827,DSM,Euronext Amsterdam,EUR,147.1,147.65,146,147.4,9/02/2021 17:38,CET,292844,43077782.25
DUTCH STAR C W11,NL00150000T5,DSCW1,Euronext Amsterdam,EUR,0.93,0.93,0.93,0.93,12/01/2021 11:13,CET,100,93
DUTCH STAR C W12,NL00150000U3,DSCW2,Euronext Amsterdam,EUR,0.49,0.49,0.49,0.49,29/12/2020 14:54,CET,4633,2270.17
DUTCH STAR C W13,NL00150000V1,DSCW3,Euronext Amsterdam,EUR,0.821,0.821,0.821,0.821,29/12/2020 14:51,CET,4633,3803.69
EASE2PAY NV,NL0000345627,EAS2P,Euronext Amsterdam,EUR,3.35,3.39,3.27,3.28,9/02/2021 17:35,CET,27398,90633.97
EDENRED,FR0010908533,EDEN,Euronext Paris,EUR,47.68,47.81,46.96,47.47,9/02/2021 17:35,CET,325635,15443163.9
